Borrowed words,Relation,Donor languoid,Source word,
aanbidden,immediate,Latin,adorare,
adelaar,immediate,High German,Adler,
adres,immediate,French,adresse,
alligator,immediate,English,alligator,
altaar,immediate,Latin,altāre,
anker,immediate,Latin,ancora,
arts,immediate,High German,Artz,
auto,immediate,English,auto(mobile),
baai,immediate,French,baie,
baarmoeder,immediate,Latin,Latijn matrix,
baby,immediate,English,baby,
bamboe,immediate,Indonesian,bambu,
banaan,immediate,Portuguese,banana,
bank,immediate,Italian,banco,
banyan,immediate,English,banyan,
bataat,immediate,Portuguese,batata,
bataat,immediate,Spanish,batata,
batterij,immediate,French,batterie,
bediende,immediate,High German,Bediente(r),
beest,immediate,French,beste,
begrijpen,immediate,High German,begreifen,
bek,immediate,French,bec,
bier,immediate,Latin,biber,
boemerang,immediate,English,boomerang,
boetseren,immediate,French (Picard),bocer,
bok,immediate,Celtic,*bukko-,
bom,immediate,French,bombe,
bont,immediate,Latin,punctus,
boot,immediate,English,boat,
boter,immediate,Latin,butyrum,
brief,immediate,Latin,brevis,
bril,immediate,Latin,beryllus,
bron,immediate,High German,Brunne,
buffel,immediate,French,buffle,
burger,immediate,High German,Bürger,
bus,immediate,English,bus,
cassave,immediate,French,cassave,
ceintuur,immediate,French,ceinture,
cirkel,immediate,Latin,circulus,
coyote,immediate,Spanish,coyote,
dansen,immediate,French,danser,
demon,immediate,Latin,daemōn,
dichter,immediate,Latin,dictator,
diner,immediate,French,dîner,
dinsdag,immediate,Latin,diês Martis,
direct,immediate,French,direct,
dokter,immediate,Latin,doctor,
dolfijn,immediate,French,"dalfin, dauphin",
donderdag,immediate,Latin,dies Iovis,
duizendpoot,immediate,Latin,milipeda,
duren,immediate,French,durer,
eed,immediate,Celtic,*oit,
eiland,immediate,Old Frisian,eiland,
eland,immediate,High German,elen,
elektriciteit,immediate,French,electricity,
elf (2),immediate,High German,Elf(e),
ezel,immediate,Latin,asinus,
familie,immediate,French,famille,
fee,immediate,French,fée,
film,immediate,English,film,
fluit,immediate,French,flûte,
fout,immediate,French,faute,
fruit,immediate,French,fruit,
geheim,immediate,High German,geheim,
gevaar,immediate,High German,Gefahr,
gif,immediate,High German,Gift,
graan,immediate,Latin,grānum,
grens,immediate,Low German,grenize,
grootmoeder,immediate,French,grand-mère,
grootouders,immediate,French,grand-parents,
grootvader,immediate,French,grand-père,
grot,immediate,French,grotte,
gulzig,immediate,French,golos,
haai,immediate,Old Norse,hár,
hangmat,immediate,Spanish,hamaca,
harnas,immediate,French,harnasc,
heersen,immediate,High German,herrschen,
heks,immediate,High German,Hexe,
hinderlaag,immediate,High German,Hinterhalt,
hut,immediate,High German,Hütte,
idee,immediate,French,idée,
ijzer,immediate,Celtic,*īsarno-,
imiteren,immediate,French,imiter,
injectie,immediate,French,injection,
insect,immediate,French,insecte,
jaguar,immediate,English,jaguar,
jaloezie,immediate,French,jalousie,
jas,immediate,Low German,jas,
juist,immediate,French,juste,
jurk,immediate,French,journée,
juweel,immediate,French,joël,
kaap,immediate,French,cap,
kaars,immediate,High German,kerza,
kaas,immediate,Latin,cāseus,
kachel,immediate,High German,Kachelofen,
kadaver,immediate,French,cadavre,
kakkerlak,immediate,Portuguese,cacalacca,
kalebas,immediate,French,calebasse,
kalender,immediate,High German,Kalender,
kalm,immediate,French,calme,
kameel,immediate,Latin,camēlus,
kameleon,immediate,French,caméléon,
kamer,immediate,Latin,camera,
kamp,immediate,French (Picard),camp,
kangoeroe,immediate,English,kangaroo,
kano,immediate,Spanish,canoa,
kant,immediate,Latin,cantus,
kapot,immediate,High German,kaputt,
kar,immediate,Latin,carrus,
kariboe,immediate,French,caribou,
kat,immediate,Latin,catta,
katapult,immediate,French,catapulte,
katoen,immediate,French,coton,
kerk,immediate,Greek,kuri(a)kon,
ketel,immediate,Latin,catillus,
keten,immediate,Latin,catēna,
keuken,immediate,Latin,cocina,
klaar,immediate,Latin,clārus,
kleindochter,immediate,French,petite-fille,
kleinkind,immediate,French,petit-enfant,
kleinzoon,immediate,French,petit-fils,
kleur,immediate,French,couleur,
klok,immediate,Old Irish,cloc,
koffie,immediate,Turkish,kahve,
koken,immediate,Latin,cocere,
konijn,immediate,French,conin,
kop,immediate,Latin,cuppa,
kopen,immediate,Latin,caupō,
koper,immediate,Latin,cyprum,
kort,immediate,Latin,curtus,
kous,immediate,French (Picard),cauce,
kraal,immediate,French,coral,
krant,immediate,French,courant,
krokodil,immediate,French,crocodile,
kruis,immediate,Latin,cruce,
kussen (1),immediate,French,cussin,
lagune,immediate,French,lagune,
lamp,immediate,French,lampe,
langzaam,immediate,High German,langsam,
lariks,immediate,Latin,larix,
lasso,immediate,English,lasso,
leeuw,immediate,Latin,leō,
lood,immediate,Celtic,*loudiom,
lucifer,immediate,English,lucifer,
lunch,immediate,English,lunch,
maandag,immediate,Latin,diês Lûnae,
machine,immediate,French,machine,
maïs,immediate,Spanish,maiz,
manier,immediate,French,manière,
maniok,immediate,French,manioc,
mantel,immediate,Latin,mantellum,
markt,immediate,Latin,mercātus,
mat,immediate,Latin,matta,
matras,immediate,French,materas,
medelijden,immediate,High German,Mitleid,
medicijn,immediate,Latin,medicīna,
meester,immediate,French,maistre,
metselaar,immediate,Latin,macio,
minister,immediate,French,ministre,
moeras,immediate,French (Picard),marasc,
molen,immediate,Latin,molina,
mortel,immediate,Latin,mortarium,
moskee,immediate,French,mosquée,
motor,immediate,Latin,motor,
munt,immediate,Latin,monēta,
muskiet,immediate,Spanish,mosquito,
muts,immediate,Latin,almucia,
muur,immediate,Latin,murus,
muziek,immediate,French,musique,
nederlaag,immediate,High German,Niederlage,
noorderlicht,immediate,Latin,aurora borealis,
nul,immediate,Italian,nulla,
oceaan,immediate,French,océan,
offer,immediate,Latin,offerre,
olie,immediate,Latin,olium,
olifant,immediate,French,olifant,
olijf,immediate,Latin,olīva,
oogst,immediate,Latin,augustus,
oorzaak,immediate,High German,Ursache,
opossum,immediate,English,opossum,
outrigger,immediate,English,outrigger,
paal,immediate,Latin,pālus,
paar,immediate,Latin,par,
paard,immediate,Latin,paraveredus,
palm (1),immediate,French,"palme, palma",
palm (2),immediate,Latin,palma,
pan,immediate,Latin,panna,
papegaai,immediate,French,papegai,
papier,immediate,French,papier,
pech,immediate,High German,Pech,
peddel,immediate,English,paddle,
pellen,immediate,Latin,pellis,
pen,immediate,Latin,penna,
penis,immediate,Latin,pēnis,
peper,immediate,Latin,piper,
persoon,immediate,Latin,persona,
pijl,immediate,Latin,pilum,
pijn,immediate,Latin,"pena, poena",
pijp,immediate,Romance,*pipa,
pil,immediate,Latin,pillula,
pin,immediate,Latin,pinna,
pissen,immediate,French,pissier,
plaats,immediate,French,place,
plank,immediate,French (Picard),planke,
plant,immediate,Latin,planta,
planten,immediate,Latin,plantare,
plastic,immediate,English,plastic,
plat,immediate,French,plat,
politie,immediate,French,police,
pols,immediate,Latin,pulsus,
pompoen,immediate,French,pompon,
poncho,immediate,Spanish,poncho,
poort,immediate,Latin,porta,
post (1),immediate,Latin,postis,
post (2),immediate,French,poste,
pot,immediate,Romance,*pottus,
preken,immediate,Latin,praedicâre,
president,immediate,French,président,
priester,immediate,Latin,*prestre,
prijs,immediate,French,pris,
proberen,immediate,Latin,probare,
proeven,immediate,French,prover,
prostituee,immediate,French,prostituée,
pus,immediate,Latin,pūs,
radio,immediate,English,radio,
regeren,immediate,Latin,regere,
rendier,immediate,High German,Rentier,
resten,immediate,French,reste,
riem,immediate,Latin,remus,
rif,immediate,Old Norse,rif,
rijk,immediate,Celtic,*riks,
rijst,immediate,French,ris,
rivier,immediate,French,riviere,
rogge,immediate,Old Slavic,rŭžĭ,
rollen,immediate,French,rouler,
rond,immediate,French,rond,
roos,immediate,French,rose,
rots,immediate,French (Picard),roch,
ruggengraat,immediate,Latin,spina dorsi,
salaris,immediate,Latin,salarium,
savanne,immediate,French,savanne,
school,immediate,Latin,schola,
schoonbroer,immediate,French,beau-frère,
schoondochter,immediate,French,belle-fille,
schoonkind,immediate,French,beau-enfant,
schoonmoeder,immediate,French,belle-mère,
schoonouders,immediate,French,beaux-parents,
schoonvader,immediate,French,beau-père,
schoonzoon,immediate,French,beau-fils,
schoonzuster,immediate,French,belle-sœur,
schorpioen,immediate,French,scorpion,
schotel,immediate,Latin,scutella,
schrijven,immediate,Latin,scribere,
schroef,immediate,French,escroue,
seizoen,immediate,French,saison,
seks hebben,immediate,English,have sex,
sieraad,immediate,High German,Zierat,
sigaret,immediate,French,cigarette,
sintel,immediate,High German,sintel,
slaaf,immediate,Latin,sclavus,
sleutelbeen,immediate,Latin,clavicula,
sluier,immediate,High German,Schleier,
soep,immediate,French,soupe,
sok,immediate,High German,Socke,
soldaat,immediate,French,soldat,
sorghum,immediate,Latin,sorghum,
specie,immediate,Latin,species,
speld,immediate,Latin,spinula,
spiegel,immediate,Latin,speglum,
spindel,immediate,High German,Spindel,
spits,immediate,High German,Spitze,
stof (2),immediate,French,estophe,
stotteren,immediate,High German,stottern,
straat,immediate,Latin,(via) strāta,
straf,immediate,High German,Strafe,
studeren,immediate,Latin,studēre,
suiker,immediate,French,sucre,
tabak,immediate,Spanish,tabaco,
tafel,immediate,Latin,tabula,
tante,immediate,French,tante,
tapijt,immediate,French,tapit,
tapir,immediate,Spanish,tapir,
tapir,immediate,Portuguese,tapir,
telefoon,immediate,French,téléphone,
televisie,immediate,English,television,
tempel,immediate,Latin,templum,
tent,immediate,French,tente,
termiet,immediate,French,termite,
testikels,immediate,Latin,testiculus,
thee,immediate,Hokkien,tê,
toekan,immediate,Spanish,tucán,
toilet,immediate,French,toilette,
toren,immediate,Latin,turrem,
trachten,immediate,Latin,tractare,
trein,immediate,English,train,
trom,immediate,High German,trum(m)e,
trommel,immediate,High German,Trommel,
trompet,immediate,French,trompette,
trots,immediate,High German,trotz,
uur,immediate,French,(h)ore,
vaderland,immediate,Latin,patria,
vagina,immediate,Latin,vagina,
vallei,immediate,French,vallée,
vasteland,immediate,High German,terraferma/Festland,
vasteland,immediate,Italian,terraferma/Festland,
venster,immediate,Latin,fenestra,
verwanten,immediate,High German,verwant,
verzamelen,immediate,High German,versammeln,
vijg,immediate,French,figes,
vlam,immediate,French,flamme,
vork,immediate,Latin,furca,
vreemdeling,immediate,High German,Fremdling,
vrijdag,immediate,Latin,dies Veneris,
vulva,immediate,Latin,vulva,
wc,immediate,English,WC,
wijn,immediate,Latin,vīnum,
wikkelen,immediate,High German,wickeln,
woensdag,immediate,Latin,dies Mercurii,
yam,immediate,English,yam,
zak,immediate,Latin,saccus,
zaterdag,immediate,Latin,dies Saturni,
zegenen,immediate,Latin,signare,
zeker,immediate,Latin,secūrus,
zich haasten,immediate,French,se haster,
zich herinneren,immediate,High German,sich erinnern,
zijde,immediate,Romance,*seda,
zilver,immediate,Akkadian,arpu,
zondag,immediate,Latin,diês sôlis,
